,PV,Harmonic,Last_change
0,DWTRIM::D7COS:AT_TIME:0MS,0,2025-07-04 00:02:18
1,DWTRIM::D8COS:AT_TIME:0MS,-1,2025-07-04 00:02:18
2,DWTRIM::F8COS:AT_TIME:0MS,-1,2025-07-04 00:02:18
3,DWTRIM::D7SIN:AT_TIME:0MS,2,2025-07-04 00:02:18
4,DWTRIM::D8SIN:AT_TIME:0MS,2,2025-07-04 00:02:18
5,DWTRIM::F8SIN:AT_TIME:0MS,0,2025-07-04 00:02:18
6,DWTRIM::D7COS:AT_TIME:.5MS,0,2025-07-04 00:02:18
7,DWTRIM::D8COS:AT_TIME:.5MS,-1,2025-07-04 00:02:18
8,DWTRIM::F8COS:AT_TIME:.5MS,-2,2025-07-04 00:02:18
9,DWTRIM::D7SIN:AT_TIME:.5MS,2,2025-07-04 00:02:18
10,DWTRIM::D8SIN:AT_TIME:.5MS,2,2025-07-04 00:02:18
11,DWTRIM::F8SIN:AT_TIME:.5MS,0,2025-07-04 00:02:18
12,DWTRIM::D7COS:AT_TIME:1MS,0,2025-07-04 00:02:18
13,DWTRIM::D8COS:AT_TIME:1MS,-1,2025-07-04 00:02:18
14,DWTRIM::F8COS:AT_TIME:1MS,-1,2025-07-04 00:02:18
15,DWTRIM::D7SIN:AT_TIME:1MS,1,2025-07-04 00:02:18
16,DWTRIM::D8SIN:AT_TIME:1MS,3,2025-07-04 00:02:18
17,DWTRIM::F8SIN:AT_TIME:1MS,0,2025-07-04 00:02:18
18,DWTRIM::D7COS:AT_TIME:1.5MS,0,2025-07-04 00:02:18
19,DWTRIM::D8COS:AT_TIME:1.5MS,-3,2025-07-04 00:02:18
20,DWTRIM::F8COS:AT_TIME:1.5MS,1,2025-07-04 00:02:18
21,DWTRIM::D7SIN:AT_TIME:1.5MS,6,2025-07-04 00:02:18
22,DWTRIM::D8SIN:AT_TIME:1.5MS,1,2025-07-04 00:02:18
23,DWTRIM::F8SIN:AT_TIME:1.5MS,-1,2025-07-04 00:02:18
24,DWTRIM::D7COS:AT_TIME:2MS,0,2025-07-04 00:02:18
25,DWTRIM::D8COS:AT_TIME:2MS,1,2025-07-04 00:02:18
26,DWTRIM::F8COS:AT_TIME:2MS,2,2025-07-04 00:02:18
27,DWTRIM::D7SIN:AT_TIME:2MS,4,2025-07-04 00:02:18
28,DWTRIM::D8SIN:AT_TIME:2MS,-1,2025-07-04 00:02:18
29,DWTRIM::F8SIN:AT_TIME:2MS,1,2025-07-04 00:02:18
30,DWTRIM::D7COS:AT_TIME:2.5MS,0,2025-07-04 00:02:18
31,DWTRIM::D8COS:AT_TIME:2.5MS,0,2025-07-04 00:02:18
32,DWTRIM::F8COS:AT_TIME:2.5MS,0,2025-07-04 00:02:18
33,DWTRIM::D7SIN:AT_TIME:2.5MS,0,2025-07-04 00:02:18
34,DWTRIM::D8SIN:AT_TIME:2.5MS,0,2025-07-04 00:02:18
35,DWTRIM::F8SIN:AT_TIME:2.5MS,,
36,DWTRIM::D7COS:AT_TIME:3MS,0,2025-07-04 00:02:18
37,DWTRIM::D8COS:AT_TIME:3MS,0,2025-07-04 00:02:18
38,DWTRIM::F8COS:AT_TIME:3MS,0,2025-07-04 00:02:18
39,DWTRIM::D7SIN:AT_TIME:3MS,0,2025-07-04 00:02:18
40,DWTRIM::D8SIN:AT_TIME:3MS,0,2025-07-04 00:02:18
