,cycle_time,Qh,Qv,Last_change_Qh,Last_change_Qv
0,.5,4.28,3.83,2025-07-04 00:02:18,2025-07-04 00:02:18
1,0,4.28,3.82,2025-07-04 00:02:18,2025-07-04 00:02:18
2,1,4.27,3.81,2025-07-04 00:02:18,2025-07-04 00:02:18
3,1.5,4.25,3.8,2025-07-04 00:02:18,2025-07-04 00:02:18
4,10,4.18,3.66,2025-07-04 00:02:18,2025-07-04 00:02:18
5,2,4.2,3.69,2025-07-04 00:02:18,2025-07-04 00:02:18
6,2.5,4.19,3.69,2025-07-04 00:02:18,2025-07-04 00:02:18
7,3,4.19,3.69,2025-07-04 00:02:18,2025-07-04 00:02:18
8,3.5,4.19,3.69,2025-07-04 00:02:18,2025-07-04 00:02:18
9,4,4.19,3.69,2025-07-04 00:02:18,2025-07-04 00:02:18
10,5,4.17,3.69,2025-07-04 00:02:18,2025-07-04 00:02:18
11,5.5,4.16,3.69,2025-07-04 00:02:18,2025-07-04 00:02:18
12,6,4.16,3.69,2025-07-04 00:02:18,2025-07-04 00:02:18
13,7,4.16,3.69,2025-07-04 00:02:18,2025-07-04 00:02:18
14,8,4.18,3.69,2025-07-04 00:02:18,2025-07-04 00:02:18
