,Corrector,Cycle_Time,Current,Last_change,PV
0,R0VD1,0.0,3.0,2025-07-04 00:10:20,DWVST_TEST::R0VD1:CURRENT:0MS
1,R2VD1,0.0,-20.2,2025-07-04 00:10:20,DWVST_TEST::R2VD1:CURRENT:0MS
2,R3VD1,0.0,13.1,2025-07-04 00:10:20,DWVST_TEST::R3VD1:CURRENT:0MS
3,R4VD1,0.0,15.4,2025-07-04 00:10:20,DWVST_TEST::R4VD1:CURRENT:0MS
4,R5VD1,0.0,-12.2,2025-07-04 00:10:20,DWVST_TEST::R5VD1:CURRENT:0MS
5,R7VD1,0.0,-21.6,2025-07-04 00:10:20,DWVST_TEST::R7VD1:CURRENT:0MS
6,R9VD1,0.0,25.2,2025-07-04 00:10:20,DWVST_TEST::R9VD1:CURRENT:0MS
7,R0VD1,0.5,1.7,2025-07-04 00:10:20,DWVST_TEST::R0VD1:CURRENT:.5MS
8,R2VD1,0.5,-12.9,2025-07-04 00:10:20,DWVST_TEST::R2VD1:CURRENT:.5MS
9,R3VD1,0.5,11.1,2025-07-04 00:10:20,DWVST_TEST::R3VD1:CURRENT:.5MS
10,R4VD1,0.5,17.6,2025-07-04 00:10:20,DWVST_TEST::R4VD1:CURRENT:.5MS
11,R5VD1,0.5,-6.4,2025-07-04 00:10:20,DWVST_TEST::R5VD1:CURRENT:.5MS
12,R7VD1,0.5,-19.8,2025-07-04 00:10:20,DWVST_TEST::R7VD1:CURRENT:.5MS
13,R9VD1,0.5,19.5,2025-07-04 00:10:20,DWVST_TEST::R9VD1:CURRENT:.5MS
14,R0VD1,1.0,4.4,2025-07-04 00:10:20,DWVST_TEST::R0VD1:CURRENT:1MS
15,R2VD1,1.0,-11.2,2025-07-04 00:10:20,DWVST_TEST::R2VD1:CURRENT:1MS
16,R3VD1,1.0,10.1,2025-07-04 00:10:20,DWVST_TEST::R3VD1:CURRENT:1MS
17,R4VD1,1.0,19.4,2025-07-04 00:10:20,DWVST_TEST::R4VD1:CURRENT:1MS
18,R5VD1,1.0,-10.2,2025-07-04 00:10:20,DWVST_TEST::R5VD1:CURRENT:1MS
19,R7VD1,1.0,-23.8,2025-07-04 00:10:20,DWVST_TEST::R7VD1:CURRENT:1MS
20,R9VD1,1.0,19.9,2025-07-04 00:10:20,DWVST_TEST::R9VD1:CURRENT:1MS
21,R0VD1,1.5,7.2,2025-07-04 00:10:20,DWVST_TEST::R0VD1:CURRENT:1.5MS
22,R2VD1,1.5,-17.7,2025-07-04 00:10:20,DWVST_TEST::R2VD1:CURRENT:1.5MS
23,R3VD1,1.5,9.1,2025-07-04 00:10:20,DWVST_TEST::R3VD1:CURRENT:1.5MS
24,R4VD1,1.5,21.8,2025-07-04 00:10:20,DWVST_TEST::R4VD1:CURRENT:1.5MS
25,R7VD1,1.5,-28.0,2025-07-04 00:10:20,DWVST_TEST::R5VD1:CURRENT:1.5MS
26,R9VD1,1.5,22.7,2025-07-04 00:10:20,DWVST_TEST::R7VD1:CURRENT:1.5MS
27,,,,,DWVST_TEST::R9VD1:CURRENT:1.5MS
28,R0VD1,2.0,7.1,2025-07-04 00:10:20,DWVST_TEST::R0VD1:CURRENT:2MS
29,R2VD1,2.0,-13.2,2025-07-04 00:10:20,DWVST_TEST::R2VD1:CURRENT:2MS
30,R4VD1,2.0,19.6,2025-07-04 00:10:20,DWVST_TEST::R3VD1:CURRENT:2MS
31,R5VD1,2.0,-23.3,2025-07-04 00:10:20,DWVST_TEST::R4VD1:CURRENT:2MS
32,R7VD1,2.0,-25.6,2025-07-04 00:10:20,DWVST_TEST::R5VD1:CURRENT:2MS
33,R9VD1,2.0,18.5,2025-07-04 00:10:20,DWVST_TEST::R7VD1:CURRENT:2MS
34,,,,,DWVST_TEST::R9VD1:CURRENT:2MS
35,R0VD1,2.5,7.9,2025-07-04 00:10:20,DWVST_TEST::R0VD1:CURRENT:2.5MS
36,R2VD1,2.5,-14.7,2025-07-04 00:10:20,DWVST_TEST::R2VD1:CURRENT:2.5MS
37,R3VD1,2.5,7.0,2025-07-04 00:10:20,DWVST_TEST::R3VD1:CURRENT:2.5MS
38,R4VD1,2.5,21.9,2025-07-04 00:10:20,DWVST_TEST::R4VD1:CURRENT:2.5MS
39,R5VD1,2.5,-26.0,2025-07-04 00:10:20,DWVST_TEST::R5VD1:CURRENT:2.5MS
40,R7VD1,2.5,-28.6,2025-07-04 00:10:20,DWVST_TEST::R7VD1:CURRENT:2.5MS
41,R9VD1,2.5,20.7,2025-07-04 00:10:20,DWVST_TEST::R9VD1:CURRENT:2.5MS
42,R0VD1,3.0,8.9,2025-07-04 00:10:20,DWVST_TEST::R0VD1:CURRENT:3MS
43,R2VD1,3.0,-16.5,2025-07-04 00:10:20,DWVST_TEST::R2VD1:CURRENT:3MS
44,R3VD1,3.0,7.9,2025-07-04 00:10:20,DWVST_TEST::R3VD1:CURRENT:3MS
45,R4VD1,3.0,24.6,2025-07-04 00:10:20,DWVST_TEST::R4VD1:CURRENT:3MS
46,R5VD1,3.0,-29.2,2025-07-04 00:10:20,DWVST_TEST::R5VD1:CURRENT:3MS
47,R7VD1,3.0,-32.1,2025-07-04 00:10:20,DWVST_TEST::R7VD1:CURRENT:3MS
48,R9VD1,3.0,23.2,2025-07-04 00:10:20,DWVST_TEST::R9VD1:CURRENT:3MS
49,R0VD1,3.5,9.9,2025-07-04 00:10:20,DWVST_TEST::R0VD1:CURRENT:3.5MS
50,R2VD1,3.5,-18.5,2025-07-04 00:10:20,DWVST_TEST::R2VD1:CURRENT:3.5MS
51,R4VD1,3.5,27.6,2025-07-04 00:10:20,DWVST_TEST::R3VD1:CURRENT:3.5MS
52,R5VD1,3.5,-32.8,2025-07-04 00:10:20,DWVST_TEST::R4VD1:CURRENT:3.5MS
53,R7VD1,3.5,-36.0,2025-07-04 00:10:20,DWVST_TEST::R5VD1:CURRENT:3.5MS
54,R9VD1,3.5,26.0,2025-07-04 00:10:20,DWVST_TEST::R7VD1:CURRENT:3.5MS
55,,,,,DWVST_TEST::R9VD1:CURRENT:3.5MS
56,R0VD1,4.0,11.1,2025-07-04 00:10:20,DWVST_TEST::R0VD1:CURRENT:4MS
57,R2VD1,4.0,-20.7,2025-07-04 00:10:20,DWVST_TEST::R2VD1:CURRENT:4MS
58,R3VD1,4.0,9.9,2025-07-04 00:10:20,DWVST_TEST::R3VD1:CURRENT:4MS
59,R4VD1,4.0,30.8,2025-07-04 00:10:20,DWVST_TEST::R4VD1:CURRENT:4MS
60,R5VD1,4.0,-36.6,2025-07-04 00:10:20,DWVST_TEST::R5VD1:CURRENT:4MS
61,R7VD1,4.0,-40.2,2025-07-04 00:10:20,DWVST_TEST::R7VD1:CURRENT:4MS
62,R9VD1,4.0,29.1,2025-07-04 00:10:20,DWVST_TEST::R9VD1:CURRENT:4MS
63,R0VD1,4.5,12.3,2025-07-04 00:10:20,DWVST_TEST::R0VD1:CURRENT:4.5MS
64,R2VD1,4.5,-23.0,2025-07-04 00:10:20,DWVST_TEST::R2VD1:CURRENT:4.5MS
65,R3VD1,4.5,11.0,2025-07-04 00:10:20,DWVST_TEST::R3VD1:CURRENT:4.5MS
66,R4VD1,4.5,34.2,2025-07-04 00:10:20,DWVST_TEST::R4VD1:CURRENT:4.5MS
67,R5VD1,4.5,-40.7,2025-07-04 00:10:20,DWVST_TEST::R5VD1:CURRENT:4.5MS
68,R7VD1,4.5,-44.7,2025-07-04 00:10:20,DWVST_TEST::R7VD1:CURRENT:4.5MS
69,R9VD1,4.5,32.3,2025-07-04 00:10:20,DWVST_TEST::R9VD1:CURRENT:4.5MS
70,R0VD1,5.0,13.6,2025-07-04 00:10:20,DWVST_TEST::R0VD1:CURRENT:5MS
71,R2VD1,5.0,-25.3,2025-07-04 00:10:20,DWVST_TEST::R2VD1:CURRENT:5MS
72,R3VD1,5.0,12.1,2025-07-04 00:10:20,DWVST_TEST::R3VD1:CURRENT:5MS
73,R4VD1,5.0,37.7,2025-07-04 00:10:20,DWVST_TEST::R4VD1:CURRENT:5MS
74,R5VD1,5.0,-44.8,2025-07-04 00:10:20,DWVST_TEST::R5VD1:CURRENT:5MS
75,R7VD1,5.0,-49.2,2025-07-04 00:10:20,DWVST_TEST::R7VD1:CURRENT:5MS
76,R9VD1,5.0,35.6,2025-07-04 00:10:20,DWVST_TEST::R9VD1:CURRENT:5MS
77,R0VD1,5.5,14.9,2025-07-04 00:10:20,DWVST_TEST::R0VD1:CURRENT:5.5MS
78,R2VD1,5.5,-27.7,2025-07-04 00:10:20,DWVST_TEST::R2VD1:CURRENT:5.5MS
79,R3VD1,5.5,13.2,2025-07-04 00:10:20,DWVST_TEST::R3VD1:CURRENT:5.5MS
80,R4VD1,5.5,41.2,2025-07-04 00:10:20,DWVST_TEST::R4VD1:CURRENT:5.5MS
81,R5VD1,5.5,-49.0,2025-07-04 00:10:20,DWVST_TEST::R5VD1:CURRENT:5.5MS
82,R7VD1,5.5,-53.8,2025-07-04 00:10:20,DWVST_TEST::R7VD1:CURRENT:5.5MS
83,R9VD1,5.5,38.9,2025-07-04 00:10:20,DWVST_TEST::R9VD1:CURRENT:5.5MS
84,R0VD1,6.0,16.1,2025-07-04 00:10:20,DWVST_TEST::R0VD1:CURRENT:6MS
85,R2VD1,6.0,-30.0,2025-07-04 00:10:20,DWVST_TEST::R2VD1:CURRENT:6MS
86,R3VD1,6.0,14.3,2025-07-04 00:10:20,DWVST_TEST::R3VD1:CURRENT:6MS
87,R4VD1,6.0,44.6,2025-07-04 00:10:20,DWVST_TEST::R4VD1:CURRENT:6MS
88,R5VD1,6.0,-53.0,2025-07-04 00:10:20,DWVST_TEST::R5VD1:CURRENT:6MS
89,R7VD1,6.0,-58.3,2025-07-04 00:10:20,DWVST_TEST::R7VD1:CURRENT:6MS
90,R9VD1,6.0,42.2,2025-07-04 00:10:20,DWVST_TEST::R9VD1:CURRENT:6MS
91,R0VD1,6.5,17.3,2025-07-04 00:10:20,DWVST_TEST::R0VD1:CURRENT:6.5MS
92,R2VD1,6.5,-32.2,2025-07-04 00:10:20,DWVST_TEST::R2VD1:CURRENT:6.5MS
93,R3VD1,6.5,15.4,2025-07-04 00:10:20,DWVST_TEST::R3VD1:CURRENT:6.5MS
94,R4VD1,6.5,47.9,2025-07-04 00:10:20,DWVST_TEST::R4VD1:CURRENT:6.5MS
