,Corrector,Cycle_Time,Current,Last_change,PV
0,R0HD1,0.0,25.7,2025-07-04 12:27:14,DWHST_TEST::R0HD1:CURRENT:0MS
1,R2HD1,0.0,-1.7,2025-07-04 12:27:14,DWHST_TEST::R2HD1:CURRENT:0MS
2,R3HD1,0.0,1.0,2025-07-04 12:27:14,DWHST_TEST::R3HD1:CURRENT:0MS
3,R4HD1,0.0,10.8,2025-07-04 12:27:14,DWHST_TEST::R4HD1:CURRENT:0MS
4,R5HD1,0.0,-7.6,2025-07-04 12:27:14,DWHST_TEST::R5HD1:CURRENT:0MS
5,R7HD1,0.0,6.1,2025-07-04 12:27:14,DWHST_TEST::R7HD1:CURRENT:0MS
6,R9HD1,0.0,9.5,2025-07-04 12:27:15,DWHST_TEST::R9HD1:CURRENT:0MS
7,R0HD1,0.5,25.7,2025-07-04 12:27:14,DWHST_TEST::R0HD1:CURRENT:.5MS
8,R2HD1,0.5,-8.7,2025-07-04 12:27:14,DWHST_TEST::R2HD1:CURRENT:.5MS
9,R3HD1,0.5,1.0,2025-07-04 12:27:14,DWHST_TEST::R3HD1:CURRENT:.5MS
10,R4HD1,0.5,2.0,2025-07-04 12:27:14,DWHST_TEST::R4HD1:CURRENT:.5MS
11,R5HD1,0.5,-7.7,2025-07-04 12:27:14,DWHST_TEST::R5HD1:CURRENT:.5MS
12,R7HD1,0.5,19.2,2025-07-04 12:27:14,DWHST_TEST::R7HD1:CURRENT:.5MS
13,R9HD1,0.5,8.7,2025-07-04 12:27:15,DWHST_TEST::R9HD1:CURRENT:.5MS
14,R0HD1,1.0,27.0,2025-07-04 12:27:14,DWHST_TEST::R0HD1:CURRENT:1MS
15,R2HD1,1.0,-1.8,2025-07-04 12:27:14,DWHST_TEST::R2HD1:CURRENT:1MS
16,R3HD1,1.0,1.0,2025-07-04 12:27:14,DWHST_TEST::R3HD1:CURRENT:1MS
17,R4HD1,1.0,5.6,2025-07-04 12:27:14,DWHST_TEST::R4HD1:CURRENT:1MS
18,R5HD1,1.0,-8.1,2025-07-04 12:27:14,DWHST_TEST::R5HD1:CURRENT:1MS
19,R7HD1,1.0,14.6,2025-07-04 12:27:14,DWHST_TEST::R7HD1:CURRENT:1MS
20,R9HD1,1.0,4.2,2025-07-04 12:27:15,DWHST_TEST::R9HD1:CURRENT:1MS
21,R0HD1,1.5,29.3,2025-07-04 12:27:14,DWHST_TEST::R0HD1:CURRENT:1.5MS
22,R2HD1,1.5,-8.0,2025-07-04 12:27:14,DWHST_TEST::R2HD1:CURRENT:1.5MS
23,R3HD1,1.5,1.0,2025-07-04 12:27:14,DWHST_TEST::R3HD1:CURRENT:1.5MS
24,R4HD1,1.5,10.5,2025-07-04 12:27:14,DWHST_TEST::R4HD1:CURRENT:1.5MS
25,R7HD1,1.5,17.1,2025-07-04 12:27:14,DWHST_TEST::R5HD1:CURRENT:1.5MS
26,R9HD1,1.5,5.0,2025-07-04 12:27:15,DWHST_TEST::R7HD1:CURRENT:1.5MS
27,,,,,DWHST_TEST::R9HD1:CURRENT:1.5MS
28,R0HD1,2.0,32.3,2025-07-04 12:27:14,DWHST_TEST::R0HD1:CURRENT:2MS
29,R2HD1,2.0,-6.1,2025-07-04 12:27:14,DWHST_TEST::R2HD1:CURRENT:2MS
30,R3HD1,2.0,1.0,2025-07-04 12:27:14,DWHST_TEST::R3HD1:CURRENT:2MS
31,R4HD1,2.0,9.9,2025-07-04 12:27:14,DWHST_TEST::R4HD1:CURRENT:2MS
32,R5HD1,2.0,-9.7,2025-07-04 12:27:14,DWHST_TEST::R5HD1:CURRENT:2MS
33,R7HD1,2.0,11.8,2025-07-04 12:27:14,DWHST_TEST::R7HD1:CURRENT:2MS
34,R9HD1,2.0,16.2,2025-07-04 12:27:15,DWHST_TEST::R9HD1:CURRENT:2MS
35,R0HD1,2.5,36.0,2025-07-04 12:27:14,DWHST_TEST::R0HD1:CURRENT:2.5MS
36,R2HD1,2.5,-2.8,2025-07-04 12:27:14,DWHST_TEST::R2HD1:CURRENT:2.5MS
37,R3HD1,2.5,1.0,2025-07-04 12:27:14,DWHST_TEST::R3HD1:CURRENT:2.5MS
